m,TagName,
"2010-12-01 00:00:00","javascript","4951"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5344"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3481"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6524"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","474"
"2011-01-01 00:00:00","php","6371"
"2011-01-01 00:00:00","python","2896"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1630"
"2011-02-01 00:00:00","c#","8201"
"2011-02-01 00:00:00","c++","3433"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6847"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6661"
"2011-02-01 00:00:00","python","3003"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9963"
"2011-03-01 00:00:00","c++","4164"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6752"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8047"
"2011-03-01 00:00:00","python","3740"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9251"
"2011-04-01 00:00:00","c++","4157"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7570"
"2011-04-01 00:00:00","python","3323"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","9961"
"2011-05-01 00:00:00","c++","3861"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8522"
"2011-05-01 00:00:00","javascript","7287"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8035"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1758"
"2011-06-01 00:00:00","c#","9711"
"2011-06-01 00:00:00","c++","3796"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7656"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7981"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1656"
"2011-07-01 00:00:00","c#","9554"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8118"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8593"
"2011-07-01 00:00:00","python","3645"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","9997"
"2011-08-01 00:00:00","c++","3942"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8625"
"2011-08-01 00:00:00","javascript","8860"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8837"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9231"
"2011-09-01 00:00:00","c++","3923"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8275"
"2011-09-01 00:00:00","javascript","8132"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7981"
"2011-09-01 00:00:00","python","3505"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2136"
"2011-10-01 00:00:00","c#","9146"
"2011-10-01 00:00:00","c++","4330"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8493"
"2011-10-01 00:00:00","javascript","7970"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7968"
"2011-10-01 00:00:00","python","3598"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9833"
"2011-11-01 00:00:00","c++","4447"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8595"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8596"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","1997"
"2011-12-01 00:00:00","c#","9238"
"2011-12-01 00:00:00","c++","4326"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9102"
"2011-12-01 00:00:00","javascript","8261"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8259"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2213"
"2012-01-01 00:00:00","c#","10304"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10045"
"2012-01-01 00:00:00","javascript","9519"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9167"
"2012-01-01 00:00:00","python","4172"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10656"
"2012-02-01 00:00:00","c++","5070"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10847"
"2012-02-01 00:00:00","javascript","9886"
"2012-02-01 00:00:00","perl","612"
"2012-02-01 00:00:00","php","9790"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2702"
"2012-03-01 00:00:00","c#","11455"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12245"
"2012-03-01 00:00:00","javascript","10600"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10740"
"2012-03-01 00:00:00","python","4996"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2654"
"2012-04-01 00:00:00","c#","10971"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11886"
"2012-04-01 00:00:00","javascript","10555"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10242"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2459"
"2012-05-01 00:00:00","c#","11400"
"2012-05-01 00:00:00","c++","4935"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12035"
"2012-05-01 00:00:00","javascript","11388"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10792"
"2012-05-01 00:00:00","python","5047"
"2012-05-01 00:00:00","r","870"
"2012-05-01 00:00:00","ruby","1951"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","199"
"2012-06-01 00:00:00","c","2297"
"2012-06-01 00:00:00","c#","11222"
"2012-06-01 00:00:00","c++","4605"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10992"
"2012-06-01 00:00:00","javascript","11143"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10448"
"2012-06-01 00:00:00","python","5246"
"2012-06-01 00:00:00","r","966"
"2012-06-01 00:00:00","ruby","1879"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2358"
"2012-07-01 00:00:00","c#","12240"
"2012-07-01 00:00:00","c++","5240"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12174"
"2012-07-01 00:00:00","javascript","12263"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11647"
"2012-07-01 00:00:00","python","5702"
"2012-07-01 00:00:00","r","1111"
"2012-07-01 00:00:00","ruby","2057"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2309"
"2012-08-01 00:00:00","c#","11907"
"2012-08-01 00:00:00","c++","5145"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12199"
"2012-08-01 00:00:00","javascript","12385"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11815"
"2012-08-01 00:00:00","python","5848"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2053"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2522"
"2012-09-01 00:00:00","c#","11235"
"2012-09-01 00:00:00","c++","4885"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11566"
"2012-09-01 00:00:00","javascript","11134"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10925"
"2012-09-01 00:00:00","python","5238"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3146"
"2012-10-01 00:00:00","c#","12675"
"2012-10-01 00:00:00","c++","5891"
"2012-10-01 00:00:00","delphi","477"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13426"
"2012-10-01 00:00:00","javascript","12371"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11704"
"2012-10-01 00:00:00","python","6119"
"2012-10-01 00:00:00","r","1264"
